Date,era5
1999-01-01,8.117968736158213
1999-02-01,7.240998518159469
1999-03-01,6.69695582922994
1999-04-01,6.123437067320475
1999-05-01,5.104098131669215
1999-06-01,5.39099480557493
1999-07-01,5.206995579579779
1999-08-01,5.122665066801194
1999-09-01,5.752898613094667
1999-10-01,6.662241359516614
1999-11-01,6.351112632285363
1999-12-01,8.808203439551145
2000-01-01,6.261092351810978
2000-02-01,7.100977226236609
2000-03-01,6.367591203032579
2000-04-01,6.170727096085494
2000-05-01,5.022871035967977
2000-06-01,5.202489749218437
2000-07-01,5.563270814908457
2000-08-01,4.008888233965817
2000-09-01,4.975980921341983
2000-10-01,6.599257555153927
2000-11-01,8.255137534309126
2000-12-01,7.9677282792998545
2001-01-01,7.886830497435355
2001-02-01,7.097146593868898
2001-03-01,7.334208021435347
2001-04-01,6.392947749333236
2001-05-01,5.55197753063884
2001-06-01,4.553965949049038
2001-07-01,5.342796725385477
2001-08-01,4.905466029253195
2001-09-01,6.158932371454554
2001-10-01,6.346313927047565
2001-11-01,6.627149016166972
2001-12-01,7.95207609194302
2002-01-01,7.257638296772875
2002-02-01,9.709512463065847
2002-03-01,6.5299651991321745
2002-04-01,6.69586218990028
2002-05-01,5.273751702556836
2002-06-01,5.068871882433704
2002-07-01,5.114578024492319
2002-08-01,4.365462089469573
2002-09-01,5.618976252471726
2002-10-01,7.14997184895515
2002-11-01,6.681352177605861
2002-12-01,7.37633889723517
2003-01-01,7.55975854847561
2003-02-01,6.247278825111119
2003-03-01,6.1592243677155105
2003-04-01,6.6376815416474315
2003-05-01,5.673995266794
2003-06-01,4.275521127665219
2003-07-01,4.615444858555251
2003-08-01,4.264493172596972
2003-09-01,5.019723763755478
2003-10-01,6.855647397267394
2003-11-01,6.719835157171638
2003-12-01,7.130122176338443
2004-01-01,7.579470055715072
2004-02-01,6.798290053755511
2004-03-01,6.2945327636628985
2004-04-01,6.453849399843417
2004-05-01,4.942333597393917
2004-06-01,5.076470107647042
2004-07-01,4.954131998520306
2004-08-01,5.591967764466305
2004-09-01,5.981417201191777
2004-10-01,6.723375089277625
2004-11-01,5.531414127485523
2004-12-01,6.1453163499933
2005-01-01,7.192953630391422
2005-02-01,6.459010137387331
2005-03-01,5.461385348335446
2005-04-01,5.817706333759121
2005-05-01,5.625873694820672
2005-06-01,4.427014220448777
2005-07-01,5.339525628906844
2005-08-01,4.91415435119178
2005-09-01,4.918748423187361
2005-10-01,6.617874804468101
2005-11-01,5.907554955805181
2005-12-01,6.609299727645793
2006-01-01,6.5710998963754355
2006-02-01,6.299842523722932
2006-03-01,7.485140422501879
2006-04-01,5.303114471963229
2006-05-01,6.300533682582289
2006-06-01,4.647532762564153
2006-07-01,4.2906807123320965
2006-08-01,5.655787498807669
2006-09-01,5.165090782799311
2006-10-01,6.815598969055376
2006-11-01,7.20801924086198
2006-12-01,7.634487960587443
2007-01-01,8.505440715824195
2007-02-01,7.401218313260071
2007-03-01,6.27000713162666
2007-04-01,4.92922795551459
2007-05-01,6.212966155340877
2007-06-01,5.556963920492968
2007-07-01,6.072858192733848
2007-08-01,5.193584929465383
2007-09-01,4.904088544128081
2007-10-01,5.296434619515005
2007-11-01,6.796018863541312
2007-12-01,7.692804635621786
2008-01-01,7.518528627729624
2008-02-01,7.208525990252929
2008-03-01,7.979180366188617
2008-04-01,5.626574301100552
2008-05-01,5.534141085485018
2008-06-01,4.516484701023645
2008-07-01,4.8741926613323265
2008-08-01,5.308197956932046
2008-09-01,6.198492127281362
2008-10-01,5.616803879822426
2008-11-01,6.0742503933001055
2008-12-01,6.605583270595564
2009-01-01,6.533366870773271
2009-02-01,5.972398672427502
2009-03-01,7.215281421517543
2009-04-01,5.1891083392905335
2009-05-01,5.2568688983331
2009-06-01,5.407911257989088
2009-07-01,5.474869598467891
2009-08-01,4.161887044904154
2009-09-01,5.390879643450559
2009-10-01,5.7118303059113975
2009-11-01,8.32524052438913
2009-12-01,7.434452526138236
2010-01-01,5.408007937164957
2010-02-01,7.509319910763457
2010-03-01,7.333873269745116
2010-04-01,5.995678417850594
2010-05-01,5.228951982872956
2010-06-01,5.0404576836583175
2010-07-01,3.956993037024474
2010-08-01,5.343116817959678
2010-09-01,4.995411538745611
2010-10-01,6.5463126660683715
2010-11-01,6.533703408098963
2010-12-01,5.916435961322885
2011-01-01,6.463840540291373
2011-02-01,5.231321369026183
2011-03-01,6.533657031374991
2011-04-01,4.7848467247564495
2011-05-01,4.708359182865096
2011-06-01,5.287123022778371
2011-07-01,4.934876059232259
2011-08-01,4.909473855103398
2011-09-01,5.022026463707309
2011-10-01,5.775038554117505
2011-11-01,5.593173486386168
2011-12-01,8.554501894201852
2012-01-01,7.147686848241865
2012-02-01,6.07046155362494
2012-03-01,5.487253972084664
2012-04-01,6.598827805140052
2012-05-01,5.536978460758651
2012-06-01,5.141846874319302
2012-07-01,5.403728616810835
2012-08-01,4.967249139988585
2012-09-01,5.281252547267395
2012-10-01,6.73117434183666
2012-11-01,6.1416851196282
2012-12-01,8.3608285685055
2013-01-01,5.758652163514309
2013-02-01,6.439294870671977
2013-03-01,5.870440942684888
2013-04-01,6.138360104031706
2013-05-01,5.404093558608873
2013-06-01,5.406590460185384
2013-07-01,5.130138467921409
2013-08-01,4.292683162807177
2013-09-01,5.18044333790229
2013-10-01,6.555667827828854
2013-11-01,6.9023260613357955
2013-12-01,7.731681565283214
2014-01-01,7.314877861648535
2014-02-01,8.347005945629594
2014-03-01,5.169672885308294
2014-04-01,4.756275311776249
2014-05-01,6.162750909599426
