time,energy_gwh,energy_nan_perc,num_days_expected,num_days_actual,availability_gwh,curtailment_gwh,gross_energy_gwh,availability_pct,curtailment_pct,avail_nan_perc,curt_nan_perc,nan_flag,availability_typical,curtailment_typical,combined_loss_valid,era5,merra2
2014-01-01,1.279666796,0.0,31,31,0.008720549894212115,0.0,1.288387345894212,0.006768577727810242,0.0,0.0,0.0,False,True,True,True,7.314877861648535,7.227946905581501
2014-02-01,1.793873194,0.0,28,28,0.005279583255666191,0.0,1.7991527772556661,0.002934483009119099,0.0,0.0,0.0,False,True,True,True,8.347005945629594,8.598685599148121
2014-03-01,0.805548892,0.0,31,31,0.00015123495025366784,0.0,0.8057001269502537,0.00018770625099207106,0.0,0.0,0.0,False,True,True,True,5.169672885308294,5.207071181003292
2014-04-01,0.636472272,0.0,30,30,0.002772997982544614,0.0,0.6392452699825446,0.004337924913578687,0.0,0.0,0.0,False,True,True,True,4.756275311776249,4.872303560085115
2014-05-01,1.154255297,0.0,31,31,0.015175575136876621,0.00022515461669120286,1.1696560267535678,0.012974391436255926,0.00019249643616690412,0.0,0.0,False,True,True,True,6.162750909599426,6.35163532383573
2014-06-01,0.6923996090000001,0.0,30,30,0.029416593646384267,0.01324998473722038,0.7350661873836047,0.040018972646653383,0.018025566900828873,0.0,0.0,False,True,True,True,5.205080586277859,5.425232874813919
2014-07-01,0.633958875,0.0,31,31,0.0009301090690538115,0.0010123013934272057,0.635901285462481,0.001462662665286732,0.001591915941309939,0.0,0.0,False,True,True,True,4.821668009869115,4.876928765671732
2014-08-01,0.667969933,0.0,31,31,0.009991830054352467,0.0,0.6779617630543524,0.01473804364620401,0.0,0.0,0.0,False,True,True,True,4.917273368219946,5.175157097597845
2014-09-01,0.486307261,0.0,30,30,0.0019737095502838364,0.0,0.48828097055028385,0.004042159472361787,0.0,0.0,0.0,False,True,True,True,4.727133799381372,4.775741073396728
2014-10-01,0.717287857,0.0,31,31,0.0075496790684251615,0.00044494965506347686,0.7252824857234886,0.010409294608698782,0.0006134846267790787,0.0,0.0,False,True,True,True,5.191185881234739,5.202709066824496
2014-11-01,0.66605408,0.0,30,30,0.008090568610737705,0.0,0.6741446486107378,0.012001235383846134,0.0,0.0,0.0,False,True,True,True,6.1141283251606975,5.813023199919436
2014-12-01,1.471729944,0.0,31,31,0.021004725641877522,0.0,1.4927346696418775,0.014071305550179774,0.0,0.0,0.0,False,True,True,True,6.715867329869998,6.868833264488301
2015-01-01,1.663072114,0.0,31,31,0.015569455882172602,0.0,1.6786415698821726,0.009275032956121452,0.0,0.0,0.0,False,True,True,True,7.0811601063085465,7.341319925339116
2015-02-01,1.154944208,0.0,28,28,0.04076277955516374,0.0,1.1957069875551638,0.03409094366715253,0.0,0.0,0.0,False,True,True,True,6.540492500761823,6.645330397782102
2015-03-01,1.259426039,0.0,31,31,0.001827461955134843,0.0,1.2612535009551349,0.0014489251793956758,0.0,0.0,0.0,False,True,True,True,6.29802883232657,6.442448180817955
2015-04-01,0.940767449,0.0,30,30,0.02302303191985143,0.0001376404560704813,0.9639281213759219,0.023884594099182515,0.00014279120301419546,0.0,0.0,False,True,True,True,5.694730802709829,6.00223481310712
2015-05-01,0.928848365,0.0,31,31,0.031513762971665804,0.0,0.9603621279716659,0.03281445826922027,0.0,0.0,0.0,False,True,True,True,5.53832269905714,5.733461090487253
2015-06-01,0.71571047,0.0,30,30,0.00982785163911603,0.0,0.725538321639116,0.013545599654768366,0.0,0.0,0.0,False,True,True,True,5.077082901433352,5.222215111389083
2015-07-01,0.8962730720000001,0.0,31,31,0.04687901909746204,0.0009119109200487739,0.9440640020175108,0.04965661120144321,0.0009659418409133022,0.0,0.0,False,True,True,True,5.305550899274261,5.63077467118508
2015-08-01,0.705414084,0.0,31,31,0.00917696658659392,0.0,0.714591050586594,0.012842263528294574,0.0,0.0,0.0,False,True,True,True,4.961172256065849,5.065170787110669
2015-09-01,1.314364433,0.0,30,30,0.005013272493782848,0.0008462692171134397,1.3202239747108961,0.0037972893916584562,0.0006410042790646614,0.0,0.0,False,True,True,True,6.433559744872768,6.67321659055819
2015-10-01,0.580034847,0.0,31,31,0.0004441533937027211,0.0,0.5804790003937027,0.0007651498045605087,0.0,0.0,0.0,False,True,True,True,5.238246084414312,5.02690889897008
2015-11-01,1.63257932,0.0,30,30,0.011865916732651482,0.0001505658689685449,1.64459580260162,0.007215096082502791,9.155189909299394e-05,0.0,0.0,False,True,True,True,7.212845161822273,7.4909663139799285
2015-12-01,1.336421843,0.0,31,31,0.000806544471504737,0.0,1.3372283874715047,0.0006031463877533963,0.0,0.0,0.0,False,True,True,True,7.195651947038447,6.912018476587793
