aep,aep_final,avail_pct,curt_pct,lt_por_ratio,r2,mse,n_points,iav,iav_wind,iav_nsim,var_energy,std_predicted,var_energy_pred,mean_energy_pred,var_wind,mean_wind,mean_predicted,cov_energy_wind,residuals,mean_residuals,unique_points,yearly_bias,gps,yearly_gross_energy,yearly_wind_speeds,bootstrap_data,non_bootstrap_data,slope,intercept,num_points,metered_energy_fraction,loss_fraction,num_years_windiness,loss_threshold,reanalysis_product,outlier_threshold,i
12.844044809098289,12.621560269296184,0.012639024418045626,0.000679579951737632,0.9964707246883898,0.9916685250717883,0.0011370071399664143,17.0,0.08714737983747678,0.041271167191433165,0.9826780003410994,0.13647129106952335,0.3678780829698298,0.1272618035954318,0.9661332945131704,0.9267115805543542,5.63188987789558,0.9478087158380959,0.37627481292385784,-0.251934517577134,-0.035990645368161996,10.0,0.5993382759017987,12.828401478113836,"[14.3443006690434, 14.826802485653511, 12.346376458010528, 13.74223770830463, 11.170647712064707, 12.514178327270098, 13.163155799005638, 13.26799441052298, 12.262841132086772, 14.400080588840538, 11.064113315998245, 13.575167634065938, 12.432071286321845]","[[6.235302143817986], [6.338210762175915], [5.803191781648445], [6.117568277925639], [5.547920730100021], [5.840733558123624], [5.980957645834835], [6.015954703852972], [5.789125037643327], [6.2594406997133065], [5.535257085285981], [6.069628528677202], [5.825525096660825]]","                era5         0
time                          
2014-04-01  4.756275  0.637227
2014-03-01  5.169673  0.776964
2015-06-01  5.077083  0.723833
2014-08-01  4.917273  0.654619
2015-03-01  6.298029  1.216404
2014-12-01  6.715867  1.441254
2015-09-01  6.433560  1.316067
2014-04-01  4.756275  0.637227
2014-02-01  8.347006  1.921339
2014-03-01  5.169673  0.776964
2014-08-01  4.917273  0.654619
2014-07-01  4.821668  0.613376
2015-03-01  6.298029  1.216404
2014-07-01  4.821668  0.613376
2014-08-01  4.917273  0.654619
2014-05-01  6.162751  1.129228
2014-05-01  6.162751  1.129228","                era5         0
time                          
2014-06-01  5.205081  0.736209
2014-09-01  4.727134  0.486726
2014-10-01  5.191186  0.700082
2015-02-01  6.540493  1.280414
2015-04-01  5.694731  0.962550
2015-05-01  5.538323  0.928770
2015-08-01  4.961172  0.689872",0.3821480251569531,-1.2044068789011337,17.0,0.9964617406977769,1.084201741928636,13,0.19,era5,1.2,0
12.97724576578266,13.058524742103252,0.010851462631563056,0.0005820943308765801,1.0002866389746554,0.9837132761229939,0.001981880292505344,18.0,0.08877411728494951,0.038048112965682945,1.0062631915729685,0.12168686025944044,0.34598407473023224,0.1775750866696145,1.021693570813275,0.637929235136072,5.418347454954747,0.8715265327305102,0.29259435673946366,-0.3059191712685758,-0.03823989640857198,10.0,0.9689371378560079,13.198000340068045,"[14.233873568214293, 11.318864135596932, 12.841814692279895, 13.577458964668313, 13.696298103847736, 12.556913018296777, 14.979567168184044, 11.198102750661542, 14.044492351525022, 12.748742779883898]","[[6.117568277925639], [5.547920730100021], [5.840733558123624], [5.980957645834835], [6.015954703852972], [5.789125037643327], [6.2594406997133065], [5.535257085285981], [6.069628528677202], [5.825525096660825]]","                era5         0
time                          
2015-09-01  6.433560  1.331273
2014-04-01  4.756275  0.644599
2014-09-01  4.727134  0.492380
2015-08-01  4.961172  0.696939
2014-04-01  4.756275  0.644599
2014-04-01  4.756275  0.644599
2015-11-01  7.212845  1.658044
2014-05-01  6.162751  1.140738
2014-10-01  5.191186  0.707452
2015-06-01  5.077083  0.731169
2014-07-01  4.821668  0.620595
2014-12-01  6.715867  1.455742
2014-07-01  4.821668  0.620595
2015-06-01  5.077083  0.731169
2015-08-01  4.961172  0.696939
2014-12-01  6.715867  1.455742
2014-10-01  5.191186  0.707452
2014-10-01  5.191186  0.707452","                era5         0
time                          
2014-02-01  8.347006  1.943989
2014-03-01  5.169673  0.786456
2014-06-01  5.205081  0.738586
2014-08-01  4.917273  0.661131
2015-02-01  6.540493  1.289299
2015-03-01  6.298029  1.231026
2015-04-01  5.694731  0.970734
2015-05-01  5.538323  0.935399",0.4331814556820528,-1.4756011051979327,18.0,1.0086651103956739,0.9418884907777476,10,0.18,era5,1.3,1
12.585511361483169,12.222790246597794,0.01153495546117623,0.0006067240315586794,0.9856687497085402,0.9872066947815996,0.001878169203738429,18.0,0.09255175261653113,0.041271167191433165,0.9711794694337609,0.14680875439734653,0.3806974982760043,0.1493253635057955,0.973249213029465,0.9184780622566069,5.628109454312498,0.9188684456427377,0.3863118235460251,0.28503247475315663,0.05700649495063133,13.0,0.31615026367941823,12.545213465891456,"[14.12095263476318, 14.622501165188933, 12.044160553469752, 13.495123295292913, 10.822020025893373, 12.218586385731102, 12.893182182105893, 13.002159287949391, 11.957327678414376, 14.178934461646389, 10.711280194565223, 13.32145814559204, 12.13323817706626]","[[6.235302143817986], [6.338210762175915], [5.803191781648445], [6.117568277925639], [5.547920730100021], [5.840733558123624], [5.980957645834835], [6.015954703852972], [5.789125037643327], [6.2594406997133065], [5.535257085285981], [6.069628528677202], [5.825525096660825]]","                era5         0
time                          
2014-03-01  5.169673  0.776593
2014-08-01  4.917273  0.653477
2014-09-01  4.727134  0.486331
2015-06-01  5.077083  0.722646
2014-08-01  4.917273  0.653477
2014-08-01  4.917273  0.653477
2014-09-01  4.727134  0.486331
2015-11-01  7.212845  1.638031
2014-05-01  6.162751  1.127412
2014-10-01  5.191186  0.699086
2015-03-01  6.298029  1.215690
2015-02-01  6.540493  1.276027
2015-08-01  4.961172  0.688782
2014-05-01  6.162751  1.127412
2015-06-01  5.077083  0.722646
2015-04-01  5.694731  0.960093
2014-06-01  5.205081  0.732161
2014-02-01  8.347006  1.919962","                era5         0
time                          
2014-04-01  4.756275  0.636692
2014-07-01  4.821668  0.612930
2014-12-01  6.715867  1.438823
2015-05-01  5.538323  0.925691
2015-09-01  6.433560  1.314951",0.3972332824965321,-1.316803947143582,18.0,0.996002450093654,0.9967805315455345,13,0.12,era5,1.4,2
12.479440008816814,13.43078672266532,0.01187089219147547,0.0006358226920496077,1.0851621781773004,0.9909406408956032,0.0010684111581128794,14.0,0.08238315207048634,0.039153151659449166,1.076233125298601,0.11793451896551334,0.34185685280157907,0.12007965240456966,0.9216282668021458,0.8491678370226872,5.438588686530556,0.8543090733558711,0.3392545974333372,0.0802274010882541,0.020056850272063526,10.0,0.29638027082615714,12.525443473038194,"[12.127347945055138, 12.209988010625192, 13.997031424499763, 14.465429233622118, 12.057508523187028, 13.412567362281248, 10.916147496626994, 12.220405377089095, 12.85041259253617, 12.952186667276772, 11.976415017836297, 14.051180841821258, 10.812727206804485, 13.250380912304527, 12.140698406524962]","[[5.82312347382076], [5.834936926753166], [6.235302143817986], [6.338210762175915], [5.803191781648445], [6.117568277925639], [5.547920730100021], [5.840733558123624], [5.980957645834835], [6.015954703852972], [5.789125037643327], [6.2594406997133065], [5.535257085285981], [6.069628528677202], [5.825525096660825]]","                era5         0
time                          
2014-06-01  5.205081  0.734602
2014-02-01  8.347006  1.924319
2014-04-01  4.756275  0.638154
2014-10-01  5.191186  0.700782
2015-06-01  5.077083  0.724434
2015-03-01  6.298029  1.218414
2014-07-01  4.821668  0.614322
2015-06-01  5.077083  0.724434
2014-05-01  6.162751  1.130193
2014-03-01  5.169673  0.778314
2014-03-01  5.169673  0.778314
2014-04-01  4.756275  0.638154
2014-08-01  4.917273  0.655109
2014-10-01  5.191186  0.700782","                era5         0
time                          
2015-02-01  6.540493  1.279691
2015-04-01  5.694731  0.962663
2015-05-01  5.538323  0.928326
2015-08-01  4.961172  0.690477",0.37097745869958376,-1.1632847364855416,14.0,0.9982063147418373,1.0182189108695174,15,0.19,era5,1.0,3
13.115928646589685,11.597919989995406,0.011414956883643317,0.000603060778320549,0.8955101830909373,0.9819075337967006,0.002455811519890816,20.0,0.07800370068416554,0.03732756593134039,0.8842622053308454,0.1357366924053156,0.3650765411327122,0.14105980428485854,1.037033604007086,0.894804311360492,5.80475128368888,1.0358403880533014,0.36351669054977004,-0.35349308313696254,-0.0706986166273925,15.0,0.8716682481315736,13.100731450343611,"[14.01975922129493, 13.393001799207212, 12.686579538681057, 12.772552725340951, 14.631672946635236, 15.118962640768224, 12.613923283981014, 14.0236357001677, 11.426527752456508, 12.783390255361379, 13.438807546684762, 13.544686474350842, 12.529559034941139, 14.688006371963402, 11.318936212929067, 13.854907785428397, 12.70046846420433]","[[6.104437179847501], [5.973410432760108], [5.82312347382076], [5.834936926753166], [6.235302143817986], [6.338210762175915], [5.803191781648445], [6.117568277925639], [5.547920730100021], [5.840733558123624], [5.980957645834835], [6.015954703852972], [5.789125037643327], [6.2594406997133065], [5.535257085285981], [6.069628528677202], [5.825525096660825]]","                era5         0
time                          
2014-04-01  4.756275  0.636012
2015-09-01  6.433560  1.313544
2015-05-01  5.538323  0.924322
2015-04-01  5.694731  0.958794
2015-08-01  4.961172  0.687962
2015-01-01  7.081160  1.616166
2014-03-01  5.169673  0.775810
2015-08-01  4.961172  0.687962
2014-12-01  6.715867  1.437084
2015-07-01  5.305551  0.908414
2015-11-01  7.212845  1.636211
2015-02-01  6.540493  1.274116
2014-07-01  4.821668  0.612286
2015-07-01  5.305551  0.908414
2014-02-01  8.347006  1.917950
2015-07-01  5.305551  0.908414
2014-08-01  4.917273  0.652681
2014-03-01  5.169673  0.775810
2015-04-01  5.694731  0.958794
2014-05-01  6.162751  1.126064","                era5         0
time                          
2014-06-01  5.205081  0.730811
2014-09-01  4.727134  0.485813
2014-10-01  5.191186  0.698272
2015-03-01  6.298029  1.214442
2015-06-01  5.077083  0.721777",0.3859400895121007,-1.2044458419690662,20.0,0.9950006122094507,0.9814085307116351,17,0.11,era5,2.3,4
12.601523195375805,11.72753557090003,0.011655134133802668,0.000633081303160943,0.9358146185869084,0.9872586334092809,0.001638721595029607,17.0,0.08918546004520303,0.04064307998943146,0.9306442871289966,0.12861427252420907,0.3563362890994677,0.13365885009588108,0.9517452303596604,0.827860611810381,5.665814170789325,0.9462516779564154,0.34448284695769477,-0.028441815005264992,-0.007110453751316248,13.0,0.45062058954454365,12.679683791756581,"[14.7276956326964, 12.1856923730792, 13.616206247985076, 10.980775850146271, 12.357659968110859, 13.022748477175364, 13.130189734943519, 12.100083260602197, 14.290380251967484, 10.871596709529191, 13.44498861497918, 12.273514598161519]","[[6.338210762175915], [5.803191781648445], [6.117568277925639], [5.547920730100021], [5.840733558123624], [5.980957645834835], [6.015954703852972], [5.789125037643327], [6.2594406997133065], [5.535257085285981], [6.069628528677202], [5.825525096660825]]","                era5         0
time                          
2014-10-01  5.191186  0.699170
2014-08-01  4.917273  0.653568
2015-03-01  6.298029  1.215774
2014-12-01  6.715867  1.439019
2014-08-01  4.917273  0.653568
2014-07-01  4.821668  0.612977
2015-06-01  5.077083  0.722742
2015-04-01  5.694731  0.960274
2014-08-01  4.917273  0.653568
2015-03-01  6.298029  1.215774
2014-05-01  6.162751  1.127560
2014-02-01  8.347006  1.920109
2014-03-01  5.169673  0.776641
2014-06-01  5.205081  0.732432
2014-10-01  5.191186  0.699170
2015-08-01  4.961172  0.688871
2015-09-01  6.433560  1.315062","                era5         0
time                          
2014-04-01  4.756275  0.636746
2014-09-01  4.727134  0.486371
2015-02-01  6.540493  1.276337
2015-05-01  5.538323  0.925909",0.3916349509234675,-1.2726791767621488,17.0,0.9960633186876824,1.0021366658324564,12,0.2,era5,1.2,5
13.038940496320754,13.365544713313913,0.010573412542072575,0.0005479629819779059,1.0409342598889966,0.9843552345882426,0.002899820847434677,20.0,0.0960853206571815,0.041271167191433165,1.0250483708461833,0.1853540638746422,0.4271466294227398,0.17254321870803124,1.0227508871472055,1.0014276136928237,5.844707578013611,1.0384862408500803,0.44994886407255763,0.22968628586856932,0.038281047644761555,14.0,0.7481005326962347,12.977163734908272,"[14.67035455024084, 15.20928725048494, 12.438763594791476, 13.997877461081826, 11.125527776823127, 12.6261906912145, 13.351069166693165, 13.468169152744702, 12.34545841496406, 14.732658197109723, 11.006533676149372, 13.811267746589914, 12.534480841087548]","[[6.235302143817986], [6.338210762175915], [5.803191781648445], [6.117568277925639], [5.547920730100021], [5.840733558123624], [5.980957645834835], [6.015954703852972], [5.789125037643327], [6.2594406997133065], [5.535257085285981], [6.069628528677202], [5.825525096660825]]","                era5         0
time                          
2015-03-01  6.298029  1.234573
2014-07-01  4.821668  0.622357
2014-10-01  5.191186  0.709312
2015-11-01  7.212845  1.662566
2014-09-01  4.727134  0.493765
2014-06-01  5.205081  0.739611
2015-09-01  6.433560  1.335004
2014-03-01  5.169673  0.788749
2014-08-01  4.917273  0.662805
2014-12-01  6.715867  1.459453
2015-04-01  5.694731  0.972954
2014-09-01  4.727134  0.493765
2014-06-01  5.205081  0.739611
2014-02-01  8.347006  1.949515
2014-08-01  4.917273  0.662805
2014-05-01  6.162751  1.143673
2015-09-01  6.433560  1.335004
2014-12-01  6.715867  1.459453
2015-01-01  7.081160  1.641943
2014-08-01  4.917273  0.662805","                era5         0
time                          
2014-04-01  4.756275  0.646408
2015-02-01  6.540493  1.291905
2015-05-01  5.538323  0.937321
2015-06-01  5.077083  0.733043
2015-07-01  5.305551  0.919893
2015-08-01  4.961172  0.698738",0.42684205530610164,-1.4562807544123968,20.0,1.0116100079617396,0.91811132031393,13,0.19,era5,2.5,6
13.055449481840405,13.343462452578637,0.011912233122289293,0.0005992567084477543,1.0367163462953963,0.9797336726171361,0.0013119103177094218,20.0,0.08779199470046212,0.03732756593134039,1.0220607472104921,0.0647335006942944,0.2518364357605647,0.1772169624494208,1.0261866878253993,0.33891854277146977,5.3726273297730645,0.8379191601194252,0.15432725235906794,-0.23446692478797138,-0.03907782079799523,14.0,0.796996643439984,13.026059845652021,"[14.056160446972898, 13.353653713464107, 12.561853924213787, 12.658217749198267, 14.742029488533053, 15.28821255591116, 12.48041650303688, 14.060505433429308, 11.149513466490987, 12.670365092884431, 13.404995500417654, 13.523670855508543, 12.385856070357026, 14.805171318561694, 11.028918514883017, 13.871385221912025, 12.57742145218785]","[[6.104437179847501], [5.973410432760108], [5.82312347382076], [5.834936926753166], [6.235302143817986], [6.338210762175915], [5.803191781648445], [6.117568277925639], [5.547920730100021], [5.840733558123624], [5.980957645834835], [6.015954703852972], [5.789125037643327], [6.2594406997133065], [5.535257085285981], [6.069628528677202], [5.825525096660825]]","                era5         0
time                          
2015-06-01  5.077083  0.720878
2015-06-01  5.077083  0.720878
2015-03-01  6.298029  1.212035
2015-07-01  5.305551  0.909332
2014-06-01  5.205081  0.731880
2014-08-01  4.917273  0.651915
2015-05-01  5.538323  0.924254
2014-09-01  4.727134  0.484927
2015-03-01  6.298029  1.212035
2015-04-01  5.694731  0.958211
2014-08-01  4.917273  0.651915
2015-06-01  5.077083  0.720878
2015-09-01  6.433560  1.311180
2014-10-01  5.191186  0.697295
2014-07-01  4.821668  0.611133
2014-03-01  5.169673  0.774213
2014-06-01  5.205081  0.731880
2014-07-01  4.821668  0.611133
2014-12-01  6.715867  1.435339
2015-08-01  4.961172  0.687075","                era5         0
time                          
2014-02-01  8.347006  1.914322
2014-04-01  4.756275  0.634863
2014-05-01  6.162751  1.124635
2015-01-01  7.081160  1.613732
2015-02-01  6.540493  1.274121
2015-11-01  7.212845  1.633551",0.43258444504753235,-1.4861958517776614,20.0,0.992941091361682,1.0398764209139322,17,0.11,era5,2.3,7
12.73612294096829,12.235596191383545,0.011375881495038343,0.0005956754124178304,0.975202877498552,0.983903194494077,0.0026915928255619994,18.0,0.09363134237658122,0.041271167191433165,0.9607002262851357,0.16721285627583743,0.40561220821158156,0.15645871821570212,0.9838816264476221,0.995095106623143,5.682591977602483,0.9503702847998841,0.4284171985954007,-0.006414094717843599,-0.00128281894356872,13.0,0.46202785801508917,12.691091060227127,"[14.304028133561445, 14.817416538686443, 12.178209972981085, 13.663425067297187, 10.927218816136408, 12.35675341275797, 13.047274148031363, 13.158823836984972, 12.08932726566011, 14.363378716454262, 10.81386478967538, 13.485660267238774, 12.269390419809863]","[[6.235302143817986], [6.338210762175915], [5.803191781648445], [6.117568277925639], [5.547920730100021], [5.840733558123624], [5.980957645834835], [6.015954703852972], [5.789125037643327], [6.2594406997133065], [5.535257085285981], [6.069628528677202], [5.825525096660825]]","                era5         0
time                          
2015-08-01  4.961172  0.688163
2014-05-01  6.162751  1.126394
2014-03-01  5.169673  0.776009
2014-02-01  8.347006  1.918457
2014-09-01  4.727134  0.485943
2014-07-01  4.821668  0.612448
2014-05-01  6.162751  1.126394
2015-11-01  7.212845  1.636664
2015-03-01  6.298029  1.214758
2015-08-01  4.961172  0.688163
2015-04-01  5.694731  0.959105
2014-09-01  4.727134  0.485943
2015-09-01  6.433560  1.313897
2014-09-01  4.727134  0.485943
2014-08-01  4.917273  0.652875
2015-06-01  5.077083  0.721990
2014-03-01  5.169673  0.776009
2014-12-01  6.715867  1.437509","                era5         0
time                          
2014-04-01  4.756275  0.636183
2014-06-01  5.205081  0.731119
2014-10-01  5.191186  0.698473
2015-02-01  6.540493  1.274566
2015-05-01  5.538323  0.924645",0.40661062487880595,-1.3602319901443511,18.0,0.9952555152939565,0.9844828488452223,13,0.12,era5,1.3,8
13.525343558722845,10.496773631734117,0.010861981890912836,0.0005363853924276864,0.7959017021101078,0.9926357215213586,0.0008609047890531782,20.0,0.09535881783778487,0.041284409665806314,0.7760818485800661,0.11690280202603102,0.3406492290274232,0.18340751707818517,1.0506697070587796,0.5991853407085658,5.864357228200745,1.0755402145725235,0.2775648036082978,-0.5078082853104097,-0.05078082853104097,10.0,1.1042936752475807,13.333356877459618,"[16.232258538276724, 14.381294813261263, 13.666623396454044, 12.861112715602896, 12.959145187101987, 15.079040438029532, 15.634681271035639, 12.778265115149399, 14.385715037977548, 11.424316016312215, 12.971502875517691, 13.71885422339607, 13.83958457389291, 12.682067263692977, 15.143275638880889, 11.301632829355418, 14.193320000229134, 12.876949812591048]","[[6.46930464915082], [6.104437179847501], [5.973410432760108], [5.82312347382076], [5.834936926753166], [6.235302143817986], [6.338210762175915], [5.803191781648445], [6.117568277925639], [5.547920730100021], [5.840733558123624], [5.980957645834835], [6.015954703852972], [5.789125037643327], [6.2594406997133065], [5.535257085285981], [6.069628528677202], [5.825525096660825]]","                era5         0
time                          
2015-01-01  7.081160  1.631844
2015-06-01  5.077083  0.728637
2015-06-01  5.077083  0.728637
2015-01-01  7.081160  1.631844
2014-03-01  5.169673  0.783661
2015-04-01  5.694731  0.967444
2014-12-01  6.715867  1.450707
2015-03-01  6.298029  1.226661
2015-04-01  5.694731  0.967444
2015-07-01  5.305551  0.915495
2015-06-01  5.077083  0.728637
2015-03-01  6.298029  1.226661
2015-08-01  4.961172  0.694523
2015-01-01  7.081160  1.631844
2015-08-01  4.961172  0.694523
2014-12-01  6.715867  1.450707
2014-06-01  5.205081  0.736257
2015-05-01  5.538323  0.932286
2015-05-01  5.538323  0.932286
2014-12-01  6.715867  1.450707","                era5         0
time                          
2014-02-01  8.347006  1.937116
2014-04-01  4.756275  0.642326
2014-05-01  6.162751  1.136786
2014-07-01  4.821668  0.618402
2014-08-01  4.917273  0.658848
2014-09-01  4.727134  0.490643
2014-10-01  5.191186  0.704990
2015-02-01  6.540493  1.285019
2015-09-01  6.433560  1.326580
2015-11-01  7.212845  1.652232",0.44007512452834846,-1.5052175229066391,20.0,1.0050784729149809,0.9454999993189332,18,0.19,era5,2.5,9
