aep,aep_final,avail_pct,curt_pct,lt_por_ratio,r2,mse,n_points,iav,iav_wind,iav_nsim,var_energy,std_predicted,var_energy_pred,mean_energy_pred,var_wind,mean_wind,mean_predicted,cov_energy_wind,residuals,mean_residuals,unique_points,yearly_bias,gps,yearly_gross_energy,yearly_wind_speeds,slope,intercept,num_points,metered_energy_fraction,loss_fraction,num_years_windiness,loss_threshold,reanalysis_product,outlier_threshold,i
11.605170888110335,13.541020359925426,0.011826482141206992,0.000653377508699725,1.1587389497391767,0.8823914514388204,0.014083026608597097,24.0,0.09270249968073727,0.04135940182389775,1.166809217242841,0.11974492314452075,0.3250567589451476,0.13359746901531033,0.9747583626814463,0.7915504175185242,6.330379933367656,1.0866158660460683,0.30177405433662496,0.595542100083515,0.0595542100083515,14.0,-0.40320752608032606,11.825855676131711,"[11.605313030113843, 13.238496386288022, 10.487603965300615, 11.68211744899687, 12.06888014221296, 12.09004421617272, 11.354966853782475, 13.384162467487888, 9.45968665962032, 12.56439642161189, 11.249012489522867]","[[5.962838342359324], [6.346349378588822], [5.7084939719182195], [5.981173629758366], [6.068602437622109], [6.088207120844287], [5.910049498632873], [6.381343665260072], [5.4905804168534145], [6.17883159764001], [5.884824603989569]]",0.36535908390088656,-1.2262459471536937,24.0,1.0068171983463363,1.0094111723306773,11,0.16,merra2,,0
12.483450060767543,12.484581564866811,0.011665410367257689,0.0006278010041704271,1.0162277739994272,0.9645024062790177,0.006385536569409083,24.0,0.10206283339150317,0.044514304629025274,1.0000906403353047,0.17988646271633524,0.41653442372380933,0.15601361676679595,1.0246754756911667,1.1130065078768723,6.079091073830891,1.0463389431658268,0.4585462606845459,-0.12381447920009392,-0.01768778274287056,17.0,0.20116024982087843,12.430223452032916,"[12.443370862377462, 11.98411478468862, 14.263073579839832, 15.011173777304718, 12.191895644363546, 13.956783369377787, 10.984051466201574, 12.274893781468641, 12.692846075171621, 12.715716877890534, 11.921360868252124, 14.114196361427137, 9.873240100002846, 13.228322141438017, 11.80686205451726]","[[6.01991401630448], [5.917665980671624], [6.396253013096107], [6.549254844854442], [5.962838342359324], [6.346349378588822], [5.7084939719182195], [5.981173629758366], [6.068602437622109], [6.088207120844287], [5.910049498632873], [6.381343665260072], [5.4905804168534145], [6.17883159764001], [5.884824603989569]]",0.3948226388429796,-1.3538238363708877,24.0,1.0003465158775882,0.9929693096099526,15,0.13,merra2,,1
12.729862179127254,11.800938898682585,0.012330576071742115,0.0006381460591529519,0.9697033618544365,0.9299248807688082,0.008276705721534758,24.0,0.1113993237865234,0.04747323962050497,0.9270280174778487,0.11811190351640011,0.3314139372369022,0.167609080350257,1.015886666436648,0.6558468010191897,5.789730851041142,0.9199253008757965,0.2800627675836876,-0.30082320800906526,-0.042974744001295036,17.0,0.09250687300250782,12.321570075214545,"[15.050943274035268, 15.171864313918073, 13.603990035766607, 13.118280970055784, 12.335197309954259, 11.859180344460944, 14.221311414367388, 14.996714077897206, 12.074544319191101, 13.903842917753973, 10.822618980781153, 12.16057153425854, 12.593777303838486, 12.61748279329753, 11.794136177761509, 14.067000812542513, 9.671267738061934, 13.148795962363732, 11.675458645738553]","[[6.568902102882727], [6.608179927237295], [6.271108624367219], [6.176461160681517], [6.01991401630448], [5.917665980671624], [6.396253013096107], [6.549254844854442], [5.962838342359324], [6.346349378588822], [5.7084939719182195], [5.981173629758366], [6.068602437622109], [6.088207120844287], [5.910049498632873], [6.381343665260072], [5.4905804168534145], [6.17883159764001], [5.884824603989569]]",0.4092319809808463,-1.4494177246416906,24.0,1.002520965898399,1.0567703099643224,19,0.16,merra2,,2
12.120718175116433,13.349030767927859,0.012184519979488221,0.0006677295907132872,1.1203683260695916,0.9418444984642316,0.011176091329148199,24.0,0.09034294722270177,0.043303192312848356,1.1013399185646544,0.19217599425695556,0.4254408336394233,0.12157630381335927,0.9939817579387608,1.4900053146134127,6.097984082643076,1.0196902831861945,0.5418966739462672,0.378922138920604,0.0378922138920604,14.0,-0.1672365136699856,12.061826688542052,"[12.740368247689632, 12.073432711714357, 11.668019285039804, 13.679795588669563, 14.340189384820118, 11.851440157207923, 13.409414487987826, 10.78520223255857, 11.924707688779229, 12.293659739298231, 12.313849195576598, 11.612622565136176, 13.548372563036008, 9.80462110530176, 12.76635721130502, 11.511547459804913]","[[6.176461160681517], [6.01991401630448], [5.917665980671624], [6.396253013096107], [6.549254844854442], [5.962838342359324], [6.346349378588822], [5.7084939719182195], [5.981173629758366], [6.068602437622109], [6.088207120844287], [5.910049498632873], [6.381343665260072], [5.4905804168534145], [6.17883159764001], [5.884824603989569]]",0.34853408962498333,-1.1056650476054488,24.0,1.0099165603221363,1.0282920929054324,16,0.17,merra2,,3
12.724557613102489,12.824608523900693,0.012437697787573017,0.000698780441726224,1.0182654605662862,0.986489863932503,0.0024850810366084442,24.0,0.10261499368888737,0.04663255046945774,1.007862820369895,0.1839419695103679,0.4259775680405711,0.15042408835469187,1.0511348374102794,1.2072980041862176,6.017870989414388,1.048672559581938,0.48840193602144155,-0.8899062552474254,-0.09887847280526949,15.0,0.5241200666507222,12.75318326886276,"[15.287477806337527, 12.519163708241726, 14.252147592884617, 11.333153705312194, 12.600661489669918, 13.01105846805615, 13.03351583572831, 12.253519383907847, 14.406715033401401, 10.242422454130187, 13.536854744102065, 12.14109036295602]","[[6.549254844854442], [5.962838342359324], [6.346349378588822], [5.7084939719182195], [5.981173629758366], [6.068602437622109], [6.088207120844287], [5.910049498632873], [6.381343665260072], [5.4905804168534145], [6.17883159764001], [5.884824603989569]]",0.3876854378380034,-1.2843683898017983,24.0,1.001587075256418,1.051452186693141,12,0.1,merra2,,4
12.21523413155249,12.274282627945718,0.01178516534715961,0.000641075165891018,1.0211045612376275,0.9596914086688172,0.00501793883155888,24.0,0.09930172832088599,0.046020999627220754,1.004834004469935,0.1244880722903604,0.3456445189190789,0.13221277924057329,1.0025098541642639,0.9043662061187522,5.942522930923971,0.9728153714138944,0.34299298898908354,0.11224406076402116,0.016034865823431593,17.0,-0.06511578974637544,12.163947412465662,"[11.753274435929827, 13.851208998328636, 14.539885451688916, 11.944550666041764, 13.569248297670116, 10.832649014836152, 12.020956023092523, 12.405709167492905, 12.426763276762411, 11.695505243043092, 13.714157524328172, 9.810072581066482, 12.898650834164455, 11.590101398445674]","[[5.917665980671624], [6.396253013096107], [6.549254844854442], [5.962838342359324], [6.346349378588822], [5.7084939719182195], [5.981173629758366], [6.068602437622109], [6.088207120844287], [5.910049498632873], [6.381343665260072], [5.4905804168534145], [6.17883159764001], [5.884824603989569]]",0.3634607443577009,-1.1870584364224386,24.0,0.9998427491136681,0.9977660428524023,14,0.2,merra2,,5
12.350433059846905,12.10921968079396,0.01086459417821058,0.0005857360581442151,0.9967836418221955,0.9145796696177929,0.010423952287584212,24.0,0.10199877059638553,0.046020999627220754,0.9804692371608275,0.1220312803865659,0.33407682963501334,0.14233172677414171,1.0123122768311115,0.7847826700282194,5.895252563820872,0.9636761278545567,0.30881932071983154,-0.0007192592847419244,-7.991769830465827e-05,15.0,0.05266574070432384,12.281728942916361,"[11.855630185428502, 14.032367787862302, 14.746912444691835, 12.054091171771358, 13.7398160226489, 10.90042404708275, 12.13336648221269, 12.532571801616617, 12.554416749573566, 11.795691054498212, 13.890168358827358, 9.839437391615292, 13.044029442327519, 11.68632800948791]","[[5.917665980671624], [6.396253013096107], [6.549254844854442], [5.962838342359324], [6.346349378588822], [5.7084939719182195], [5.981173629758366], [6.068602437622109], [6.088207120844287], [5.910049498632873], [6.381343665260072], [5.4905804168534145], [6.17883159764001], [5.884824603989569]]",0.3771131299478493,-1.2595010183210156,24.0,1.0006603315834237,0.922416244585434,14,0.18,merra2,,6
12.026403817501668,12.760802042646455,0.012152460159794919,0.0006532940844961497,1.0805181883096533,0.9222709827384128,0.00952798585421541,24.0,0.09576359343753882,0.043303192312848356,1.061065488594025,0.12257952293607634,0.33623137432705613,0.13447698502721214,0.9853914297489713,0.8413697993402421,5.855256817368321,0.9234555156082737,0.3218215342891057,0.38400664903437803,0.03490969536676164,13.0,-0.27388739039569643,11.955175811816341,"[12.668810523611423, 11.967382081115542, 11.541001279523663, 13.656823638938995, 14.351372012629188, 11.733908404344927, 13.372458832894917, 10.612526251985663, 11.810965222858018, 12.1989989205568, 12.22023254526007, 11.482739524278367, 13.518603611356513, 9.58123093822374, 12.696143597480647, 11.37643696595998]","[[6.176461160681517], [6.01991401630448], [5.917665980671624], [6.396253013096107], [6.549254844854442], [5.962838342359324], [6.346349378588822], [5.7084939719182195], [5.981173629758366], [6.068602437622109], [6.088207120844287], [5.910049498632873], [6.381343665260072], [5.4905804168534145], [6.17883159764001], [5.884824603989569]]",0.36655975046355005,-1.2228459622662582,24.0,0.9911814034080398,1.031765047404199,16,0.1,merra2,,7
12.224209122780168,14.191311224293393,0.012627241585855861,0.0006860126328430315,1.1870251296651284,0.9210232716573673,0.010995253186345292,24.0,0.09251753385770645,0.042669988231549584,1.160918557736997,0.13922143164304654,0.3580868308898015,0.132944033811742,0.9979447650804506,0.9653087843491649,5.9915617086777955,0.9860411701735622,0.3671173285457427,0.2176757544114819,0.02176757544114819,14.0,-0.1208106610443167,12.10825254116772,"[13.250383552002862, 12.817808106161168, 12.120389039247069, 11.696445436763282, 13.800173723584356, 14.490752048270076, 11.888249901542622, 13.517434351070765, 10.773277586519745, 11.964866262116116, 12.350681953332405, 12.371794206315853, 11.638516706591794, 13.6627437637692, 9.747877172362818, 12.844984943766924, 11.53282177530388]","[[6.271108624367219], [6.176461160681517], [6.01991401630448], [5.917665980671624], [6.396253013096107], [6.549254844854442], [5.962838342359324], [6.346349378588822], [5.7084939719182195], [5.981173629758366], [6.068602437622109], [6.088207120844287], [5.910049498632873], [6.381343665260072], [5.4905804168534145], [6.17883159764001], [5.884824603989569]]",0.3644644893881045,-1.1976703086170097,24.0,0.9914900750024903,1.0706522017735,17,0.11,merra2,,8
11.949817588730944,13.398773507488364,0.011128908251545595,0.0006305360079865333,1.1151243176092902,0.9530778827984164,0.007938066801381968,24.0,0.0923280496630617,0.043302229706931566,1.1212533921960308,0.1691753755969491,0.40154365739676096,0.1277622243882112,1.001365547939364,1.2630527465960275,6.317709593479215,1.1062259346484233,0.4708980801902766,0.3604667411476206,0.04505834264345258,16.0,-0.07834138271942415,12.150721819492613,"[13.532167569755261, 10.842022356552194, 12.010157724462573, 12.388379642507385, 12.409076355988564, 11.69023150670207, 13.674616946574298, 9.836804268651877, 12.87295357092395, 11.586616903798534]","[[6.346349378588822], [5.7084939719182195], [5.981173629758366], [6.068602437622109], [6.088207120844287], [5.910049498632873], [6.381343665260072], [5.4905804168534145], [6.17883159764001], [5.884824603989569]]",0.35729095880217515,-1.1510345834394655,24.0,1.007020110798026,0.9412326603677813,10,0.2,merra2,,9
