Iteration,year,energy,wind,slope,intercept,yearly_bias
0,1,12.48826677229101,5.825525096660825,0.4174295094579911,-1.4052605774148017,0.6921246023809839
0,2,13.736898496885326,6.069628528677202,0.4174295094579911,-1.4052605774148017,0.6921246023809839
0,3,10.994013271237847,5.535257085285981,0.4174295094579911,-1.4052605774148017,0.6921246023809839
0,4,14.637970823284704,6.2594406997133065,0.4174295094579911,-1.4052605774148017,0.6921246023809839
0,5,12.303412591142662,5.789125037643327,0.4174295094579911,-1.4052605774148017,0.6921246023809839
0,6,13.401365772440386,6.015954703852972,0.4174295094579911,-1.4052605774148017,0.6921246023809839
0,7,13.286848027229041,5.980957645834835,0.4174295094579911,-1.4052605774148017,0.6921246023809839
0,8,12.577954274436287,5.840733558123624,0.4174295094579911,-1.4052605774148017,0.6921246023809839
0,9,11.110383362833014,5.547920730100021,0.4174295094579911,-1.4052605774148017,0.6921246023809839
0,10,13.919393170528934,6.117568277925639,0.4174295094579911,-1.4052605774148017,0.6921246023809839
0,11,12.394660243432494,5.803191781648445,0.4174295094579911,-1.4052605774148017,0.6921246023809839
0,12,15.104089448360584,6.338210762175915,0.4174295094579911,-1.4052605774148017,0.6921246023809839
0,13,14.577041070870145,6.235302143817986,0.4174295094579911,-1.4052605774148017,0.6921246023809839
0,14,12.566232494390366,5.834936926753166,0.4174295094579911,-1.4052605774148017,0.6921246023809839
0,15,12.473244628891997,5.82312347382076,0.4174295094579911,-1.4052605774148017,0.6921246023809839
1,1,12.290171320676416,5.825525096660825,0.4071091442124065,-1.3614283749835585,0.4833257791201131
1,2,13.50793235893193,6.069628528677202,0.4071091442124065,-1.3614283749835585,0.4833257791201131
1,3,10.832861163471621,5.535257085285981,0.4071091442124065,-1.3614283749835585,0.4833257791201131
1,4,14.386726922714082,6.2594406997133065,0.4071091442124065,-1.3614283749835585,0.4833257791201131
1,5,12.109887402586617,5.789125037643327,0.4071091442124065,-1.3614283749835585,0.4833257791201131
1,6,13.180695215392648,6.015954703852972,0.4071091442124065,-1.3614283749835585,0.4833257791201131
1,7,13.069008762485522,5.980957645834835,0.4071091442124065,-1.3614283749835585,0.4833257791201131
1,8,12.377641423813882,5.840733558123624,0.4071091442124065,-1.3614283749835585,0.4833257791201131
1,9,10.946354166069215,5.547920730100021,0.4071091442124065,-1.3614283749835585,0.4833257791201131
1,10,13.685915105065138,6.117568277925639,0.4071091442124065,-1.3614283749835585,0.4833257791201131
1,11,12.198879083321742,5.803191781648445,0.4071091442124065,-1.3614283749835585,0.4833257791201131
1,12,14.841321411739306,6.338210762175915,0.4071091442124065,-1.3614283749835585,0.4833257791201131
1,13,14.32730357385987,6.235302143817986,0.4071091442124065,-1.3614283749835585,0.4833257791201131
1,14,12.366209448510226,5.834936926753166,0.4071091442124065,-1.3614283749835585,0.4833257791201131
1,15,12.2755205789228,5.82312347382076,0.4071091442124065,-1.3614283749835585,0.4833257791201131
2,1,12.1817589208855,5.825525096660825,0.3825238579496205,-1.2271551595464945,0.3494156910556825
2,2,13.32597947460314,6.069628528677202,0.3825238579496205,-1.2271551595464945,0.3494156910556825
2,3,10.812455598943172,5.535257085285981,0.3825238579496205,-1.2271551595464945,0.3494156910556825
2,4,14.151703710135697,6.2594406997133065,0.3825238579496205,-1.2271551595464945,0.3494156910556825
2,5,12.012362333129165,5.789125037643327,0.3825238579496205,-1.2271551595464945,0.3494156910556825
2,6,13.018504154064159,6.015954703852972,0.3825238579496205,-1.2271551595464945,0.3494156910556825
2,7,12.9135624364582,5.980957645834835,0.3825238579496205,-1.2271551595464945,0.3494156910556825
2,8,12.263946712005065,5.840733558123624,0.3825238579496205,-1.2271551595464945,0.3494156910556825
2,9,10.91909476885891,5.547920730100021,0.3825238579496205,-1.2271551595464945,0.3494156910556825
2,10,13.493213857979756,6.117568277925639,0.3825238579496205,-1.2271551595464945,0.3494156910556825
2,11,12.095979813905917,5.803191781648445,0.3825238579496205,-1.2271551595464945,0.3494156910556825
2,12,14.578845277002191,6.338210762175915,0.3825238579496205,-1.2271551595464945,0.3494156910556825
2,13,14.095868932216439,6.235302143817986,0.3825238579496205,-1.2271551595464945,0.3494156910556825
2,14,12.253205112708397,5.834936926753166,0.3825238579496205,-1.2271551595464945,0.3494156910556825
2,15,12.167992936168405,5.82312347382076,0.3825238579496205,-1.2271551595464945,0.3494156910556825
2,16,12.868162148388802,5.973410432760108,0.3825238579496205,-1.2271551595464945,0.3494156910556825
2,17,13.489371692591995,6.104437179847501,0.3825238579496205,-1.2271551595464945,0.3494156910556825
2,18,15.098273776699921,6.46930464915082,0.3825238579496205,-1.2271551595464945,0.3494156910556825
3,1,12.554787366061854,5.825525096660825,0.3675995943941306,-1.10960160061273,0.7069660077375293
3,2,13.654365869997752,6.069628528677202,0.3675995943941306,-1.10960160061273,0.7069660077375293
3,3,11.238907754142776,5.535257085285981,0.3675995943941306,-1.10960160061273,0.7069660077375293
3,4,14.447874268899104,6.2594406997133065,0.3675995943941306,-1.10960160061273,0.7069660077375293
3,5,12.391999828351777,5.789125037643327,0.3675995943941306,-1.10960160061273,0.7069660077375293
3,6,13.35888677564223,6.015954703852972,0.3675995943941306,-1.10960160061273,0.7069660077375293
3,7,13.258039385276176,5.980957645834835,0.3675995943941306,-1.10960160061273,0.7069660077375293
3,8,12.633768580048462,5.840733558123624,0.3675995943941306,-1.10960160061273,0.7069660077375293
3,9,11.341386370294124,5.547920730100021,0.3675995943941306,-1.10960160061273,0.7069660077375293
