Iteration,year,energy,wind,slope,intercept,yearly_bias
0,1,11.916178591371992,5.825525096660825,0.3433381524993685,-1.020762319669663,0.0431954075604057
0,2,12.943185306903338,6.069628528677202,0.3433381524993685,-1.020762319669663,0.0431954075604057
0,3,10.687146563704726,5.535257085285981,0.3433381524993685,-1.020762319669663,0.0431954075604057
0,4,13.684322434980299,6.2594406997133065,0.3433381524993685,-1.020762319669663,0.0431954075604057
0,5,11.764134972990373,5.789125037643327,0.3433381524993685,-1.020762319669663,0.0431954075604057
0,6,12.667207727207098,6.015954703852972,0.3433381524993685,-1.020762319669663,0.0431954075604057
0,7,12.573016228574648,5.980957645834835,0.3433381524993685,-1.020762319669663,0.0431954075604057
0,8,11.989947073453735,5.840733558123624,0.3433381524993685,-1.020762319669663,0.0431954075604057
0,9,10.782861627803443,5.547920730100021,0.3433381524993685,-1.020762319669663,0.0431954075604057
0,10,13.093288216903948,6.117568277925639,0.3433381524993685,-1.020762319669663,0.0431954075604057
0,11,11.839186687464931,5.803191781648445,0.3433381524993685,-1.020762319669663,0.0431954075604057
0,12,14.067707662792527,6.338210762175915,0.3433381524993685,-1.020762319669663,0.0431954075604057
0,13,13.634207366082986,6.235302143817986,0.3433381524993685,-1.020762319669663,0.0431954075604057
0,14,11.980305842506272,5.834936926753166,0.3433381524993685,-1.020762319669663,0.0431954075604057
1,1,11.528732811086668,5.825525096660825,0.3406311799587147,-1.0368207424433185,-0.3470578056451128
1,2,12.547642322861972,6.069628528677202,0.3406311799587147,-1.0368207424433185,-0.3470578056451128
1,3,10.309390810368813,5.535257085285981,0.3406311799587147,-1.0368207424433185,-0.3470578056451128
1,4,13.28293612173139,6.2594406997133065,0.3406311799587147,-1.0368207424433185,-0.3470578056451128
1,5,11.377887946461206,5.789125037643327,0.3406311799587147,-1.0368207424433185,-0.3470578056451128
1,6,12.273840626401066,6.015954703852972,0.3406311799587147,-1.0368207424433185,-0.3470578056451128
1,7,12.18039175948171,5.980957645834835,0.3406311799587147,-1.0368207424433185,-0.3470578056451128
1,8,11.601919682141766,5.840733558123624,0.3406311799587147,-1.0368207424433185,-0.3470578056451128
1,9,10.404351230544748,5.547920730100021,0.3406311799587147,-1.0368207424433185,-0.3470578056451128
1,10,12.696561780185721,6.117568277925639,0.3406311799587147,-1.0368207424433185,-0.3470578056451128
1,11,11.452347932551566,5.803191781648445,0.3406311799587147,-1.0368207424433185,-0.3470578056451128
1,12,13.66329863483328,6.338210762175915,0.3406311799587147,-1.0368207424433185,-0.3470578056451128
1,13,13.233216173837643,6.235302143817986,0.3406311799587147,-1.0368207424433185,-0.3470578056451128
1,14,11.592354465314038,5.834936926753166,0.3406311799587147,-1.0368207424433185,-0.3470578056451128
